Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,SEO Title,SEO Description,Status
pulso-essentials-pack,PULSO Essentials Pack,"<p><strong>The bag refresh, sorted.</strong></p><p>Balls, fresh overgrips and dampeners in one tidy pack — the quick refresh every player needs. Great as a top-up or a thoughtful gift.</p><ul><li>Tube of Match Balls</li><li>Overgrip 3-pack</li><li>Vibration dampeners</li><li>Better value than buying separately</li></ul>",PULSO,Bundles,"Bundles,Consumables,Beginner,Improver",FALSE,Title,Default Title,PULSO-ESSENTIALS-PACK,300,,0,continue,manual,24.99,TRUE,TRUE,g,"PULSO Essentials Pack — Balls, Grips & Dampeners","The padel bag refresh in one pack: balls, overgrips and dampeners.",draft
pulso-match-ready-bundle,PULSO Match-Ready Bundle,"<p><strong>Stock up for the season.</strong></p><p>Two tubes of balls, fresh grips and a court towel — for the player who&#x27;s on court most weeks. Stock up and stay match-ready.</p><ul><li>2× tubes of Match Balls</li><li>Overgrip 3-pack</li><li>Microfibre court towel</li><li>Built for regular players</li></ul>",PULSO,Bundles,"Bundles,Consumables,Improver,Advanced",FALSE,Title,Default Title,PULSO-MATCH-READY-BUNDLE,500,,0,continue,manual,34.99,TRUE,TRUE,g,"PULSO Match-Ready Bundle — Balls, Grips & Towel","Stock up for the season: 2 tubes of balls, grips and a towel.",draft
pulso-replenish-pack,PULSO Replenish Pack — Subscribe & Save,"<p><strong>Fresh balls &amp; grips, on your schedule.</strong></p><p>Never play with dead balls again. The Replenish Pack sends fresh balls and overgrips on a schedule that suits how often you play — cancel or pause anytime. Set it once, stay sharp.</p><ul><li>Tube of Match Balls + Overgrip 3-pack</li><li>Delivered on your chosen cycle</li><li>Subscribe &amp; Save vs one-off</li><li>Pause or cancel anytime</li><li>Requires a subscription app (e.g. Recharge/Appstle/Shopify Subscriptions)</li></ul>",PULSO,Bundles,"Bundles,Consumables,Subscription,Featured",FALSE,Title,Default Title,PULSO-REPLENISH-PACK,250,,0,continue,manual,18.99,TRUE,TRUE,g,PULSO Replenish Pack — Padel Balls & Grips Subscription,"Fresh padel balls and grips delivered on your schedule. Subscribe & Save, cancel anytime.",draft
pulso-tempo-racket,PULSO Tempo Racket,"<p><strong>Forgiving control for a confident start.</strong></p><p>A round-shape racket with a balanced, forgiving sweet spot — the easy-to-play choice for beginners and improvers who want control and comfort while their game develops.</p><ul><li>Round shape — large, forgiving sweet spot</li><li>Balanced weight for control &amp; comfort</li><li>Soft EVA core</li><li>Ideal for beginners → improvers</li></ul>",PULSO,Rackets,"Rackets,Beginner,Improver",FALSE,Title,Default Title,PULSO-TEMPO-RACKET,365,,0,continue,manual,89.99,TRUE,TRUE,g,PULSO Tempo — Control Padel Racket for Beginners,"Forgiving, easy-to-play round padel racket. Control and comfort for beginners and improvers.",draft
pulso-pulse-racket,PULSO Pulse Racket,"<p><strong>The all-round racket that grows with you.</strong></p><p>A teardrop-shape racket balancing control and power for the improving player who wants more from their game. A versatile sweet spot and a crisp, responsive feel — your step up.</p><ul><li>Teardrop shape — balanced control &amp; power</li><li>Responsive feel for developing players</li><li>Durable EVA core construction</li><li>Ideal for improvers → advanced</li></ul>",PULSO,Rackets,"Rackets,Improver,Advanced,Featured",FALSE,Title,Default Title,PULSO-PULSE-RACKET,360,,0,continue,manual,109.99,TRUE,TRUE,g,PULSO Pulse — All-Round Padel Racket for Improvers,Teardrop padel racket balancing control and power. The all-round step-up for improvers.,draft
pulso-tee,PULSO Tee,"<p><strong>Wear the rally.</strong></p><p>A clean, comfortable cotton tee for padel players on and off the court. Soft, breathable, and quietly branded — community, not billboard.</p><ul><li>Soft, breathable cotton</li><li>Relaxed everyday fit</li><li>Subtle PULSO branding</li></ul>",PULSO,Apparel,"Apparel,Community",FALSE,Size,S,PULSO-TEE-S,180,,0,continue,manual,27.99,TRUE,TRUE,g,PULSO Tee — Padel Community T-Shirt,"Clean, comfortable padel tee. Wear the rally.",draft
pulso-tee,,,,,,,Size,M,PULSO-TEE-M,180,,0,continue,manual,27.99,TRUE,TRUE,g,,,
pulso-tee,,,,,,,Size,L,PULSO-TEE-L,180,,0,continue,manual,27.99,TRUE,TRUE,g,,,
pulso-tee,,,,,,,Size,XL,PULSO-TEE-XL,180,,0,continue,manual,27.99,TRUE,TRUE,g,,,
pulso-cap,PULSO Cap,"<p><strong>Sun off, focus on.</strong></p><p>A lightweight, adjustable cap to keep the sun out of your eyes on outdoor courts. Breathable and low-profile.</p><ul><li>Lightweight &amp; breathable</li><li>Adjustable strap — one size</li><li>Subtle PULSO branding</li></ul>",PULSO,Apparel,"Apparel,Community",FALSE,Title,Default Title,PULSO-CAP,90,,0,continue,manual,21.99,TRUE,TRUE,g,PULSO Cap — Padel Cap,"Lightweight, adjustable padel cap. Sun off, focus on.",draft
pulso-hoodie,PULSO Hoodie,"<p><strong>Warm-ups and post-match.</strong></p><p>A soft, heavyweight hoodie for warm-ups, the bench and the bar afterwards. Comfortable, durable, and understated.</p><ul><li>Soft, heavyweight fleece</li><li>Relaxed fit</li><li>Subtle PULSO branding</li></ul>",PULSO,Apparel,"Apparel,Community",FALSE,Size,S,PULSO-HOOD-S,600,,0,continue,manual,49.99,TRUE,TRUE,g,PULSO Hoodie — Padel Hoodie,"Soft, heavyweight padel hoodie for warm-ups and post-match.",draft
pulso-hoodie,,,,,,,Size,M,PULSO-HOOD-M,600,,0,continue,manual,49.99,TRUE,TRUE,g,,,
pulso-hoodie,,,,,,,Size,L,PULSO-HOOD-L,600,,0,continue,manual,49.99,TRUE,TRUE,g,,,
pulso-hoodie,,,,,,,Size,XL,PULSO-HOOD-XL,600,,0,continue,manual,49.99,TRUE,TRUE,g,,,
